book_id,title,authors,categories,stress_category,stress_level_target,mood_tag,description,thumbnail,average_rating,ratings_count,num_pages,reading_duration_minutes,reading_duration_category,language,source
BOOK011,Make It Stick: The Science of Successful Learning,Peter Brown,"Education, Study Skills, Psychology","Akademik, Umum",Sedang,Stres Belajar,Revolutionize your learning with research-backed techniques for lasting knowledge.,http://books.google.com/books/content?id=oneWAwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,18500,336,504,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK012,A Mind for Numbers,Barbara Oakley,"Education, Mathematics, Study Skills",Akademik,Sedang,Stres Belajar,"How to excel at math and science even if you flunked algebra, with proven techniques.",http://books.google.com/books/content?id=S-XYBAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,22000,336,504,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK013,How to Become a Straight-A Student,Cal Newport,"Education, Study Skills, Self Help","Akademik, Umum",Sedang,Stres Belajar,The unconventional strategies real college students use to score high while studying less.,http://books.google.com/books/content?id=v6MpPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,15000,240,360,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK014,Deep Work,Cal Newport,"Productivity, Education, Career","Akademik, Pekerjaan",Sedang,"Butuh Motivasi, Stres Kerja",Rules for focused success in a distracted world — maximize cognitive performance.,http://books.google.com/books/content?id=Y9sFCgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,67000,304,456,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK015,Ultralearning,Scott Young,"Education, Self Help, Productivity","Akademik, Pekerjaan, Umum",Sedang,Stres Kerja,"Master hard skills quickly, outsmart the competition, and accelerate your career.",http://books.google.com/books/content?id=MKpVDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,14000,288,432,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK016,Atomic Habits,James Clear,"Self Help, Productivity, Education","Akademik, Pekerjaan, Umum",Sedang,Umum,An easy and proven way to build good habits and break bad ones.,http://books.google.com/books/content?id=XfFvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.4,320000,320,480,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK017,So Good They Cant Ignore You,Cal Newport,"Career, Business, Self Help","Pekerjaan, Umum",Sedang,Stres Kerja,Why skills trump passion in the quest for work you love.,http://books.google.com/books/content?id=qYjPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,32000,304,456,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK018,The 4-Hour Workweek,Timothy Ferriss,"Business, Career, Productivity",Pekerjaan,Sedang,"Masalah Finansial, Stres Kerja","Escape 9-5, live anywhere, and join the new rich by redesigning your lifestyle.",http://books.google.com/books/content?id=L_EyNgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.9,142000,416,624,Panjang (>9 jam),English,GoogleBooks_7K
BOOK019,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"Business, Career, Self Help","Pekerjaan, Umum",Sedang,Stres Kerja,The systematic discipline for determining where your highest point of contribution lies.,http://books.google.com/books/content?id=hL0RBAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,58000,272,408,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK020,Drive: The Surprising Truth About What Motivates Us,Daniel Pink,"Business, Psychology, Career","Pekerjaan, Umum",Sedang,"Butuh Motivasi, Stres Kerja","New understanding of human motivation — autonomy, mastery, and purpose.",http://books.google.com/books/content?id=xsMbReHBFCEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,54000,272,408,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK021,Quiet: The Power of Introverts,Susan Cain,"Psychology, Career, Self Help","Pekerjaan, Umum",Sedang,Stres Kerja,How introverts shape our world and how to harness the power of introversion at work.,http://books.google.com/books/content?id=zVYdh3HFdGQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,145000,368,552,Panjang (>9 jam),English,GoogleBooks_7K
BOOK022,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Psychology, Career, Self Help","Pekerjaan, Umum",Sedang,"Butuh Motivasi, Stres Kerja",Why passion and resilience are the secrets to outstanding achievement.,http://books.google.com/books/content?id=F2yvDAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,92000,352,528,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK023,The Psychology of Money,Morgan Housel,"Finance, Psychology, Self Help","Keuangan, Umum",Sedang,Masalah Finansial,"Timeless lessons on wealth, greed, and happiness — how people think about money.",http://books.google.com/books/content?id=TnrrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.4,148000,256,384,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK024,Rich Dad Poor Dad,Robert T. Kiyosaki,"Finance, Business, Self Help","Keuangan, Pekerjaan, Umum",Sedang,Masalah Finansial,What the rich teach their kids about money that the poor and middle class do not.,http://books.google.com/books/content?id=PGR7E0FnYJMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,245000,336,504,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK025,I Will Teach You to Be Rich,Ramit Sethi,"Finance, Personal Finance, Self Help","Keuangan, Umum",Sedang,Masalah Finansial,No-guilt guide for 20-to-35-year-olds to build a rich life automatically.,http://books.google.com/books/content?id=lhASEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,28000,352,528,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK026,The Total Money Makeover,Dave Ramsey,"Finance, Personal Finance",Keuangan,Sedang,Masalah Finansial,A proven plan for financial fitness — get out of debt and build real wealth.,http://books.google.com/books/content?id=cLYDAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,64000,256,384,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK027,Your Money or Your Life,Vicki Robin,"Finance, Self Help, Sustainability","Keuangan, Umum",Sedang,"Masalah Sosial, Masalah Finansial",9 steps to transforming your relationship with money and achieving financial independence.,http://books.google.com/books/content?id=JxDWDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,22000,400,600,Panjang (>9 jam),English,GoogleBooks_7K
BOOK028,How to Win Friends and Influence People,Dale Carnegie,"Self Help, Social, Relationships","Sosial, Umum",Sedang,"Butuh Motivasi, Masalah Sosial",The foundational guide to improving relationships and social skills for success.,http://books.google.com/books/content?id=PBthAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,312000,288,432,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK029,The Subtle Art of Not Giving a F*ck,Mark Manson,"Self Help, Social, Psychology","Sosial, Umum",Sedang,Masalah Sosial,A counterintuitive approach to living a good life by choosing what truly matters.,http://books.google.com/books/content?id=yng_CwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.9,368000,224,336,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK030,Boundaries,Henry Cloud & John Townsend,"Self Help, Relationships, Psychology","Sosial, Umum",Sedang,Masalah Sosial,"When to say yes, how to say no to take control of your life.",http://books.google.com/books/content?id=ZNVnDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,42000,352,528,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK031,Attached: The New Science of Adult Attachment,Amir Levine,"Psychology, Relationships, Self Help","Sosial, Umum",Sedang,Masalah Sosial,How attachment styles shape who we are and how we relate to others.,http://books.google.com/books/content?id=bNyXDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,58000,304,456,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK032,Nonviolent Communication,Marshall B. Rosenberg,"Self Help, Relationships, Communication","Sosial, Umum",Sedang,Masalah Sosial,A language of compassion to transform personal and professional relationships.,http://books.google.com/books/content?id=B7CqEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,48000,264,396,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK033,Why Zebras Dont Get Ulcers,Robert M. Sapolsky,"Science, Psychology, Health",Umum,Sedang,Umum,"Classic guide to stress, stress-related disease, and coping with stress scientifically.",http://books.google.com/books/content?id=HxEsRAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,22000,560,840,Panjang (>9 jam),English,GoogleBooks_7K
BOOK034,The Body Keeps the Score,Bessel van der Kolk,"Psychology, Health, Self Help",Umum,Berat,Umum,"How trauma reshapes body and brain, with paths to recovery through innovative treatments.",http://books.google.com/books/content?id=MhNnAwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.5,148000,464,696,Panjang (>9 jam),English,GoogleBooks_7K
BOOK035,Emotional Intelligence,Daniel Goleman,"Psychology, Self Help, Business","Pekerjaan, Umum",Sedang,Butuh Motivasi,Why EQ matters more than IQ — understanding and managing emotions for success.,http://books.google.com/books/content?id=ZMEOPlp9GSMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,82000,368,552,Panjang (>9 jam),English,GoogleBooks_7K
BOOK036,Mans Search for Meaning,Viktor E. Frankl,"Psychology, Philosophy, Self Help",Umum,Ringan,Umum,Finding purpose and meaning even in the most extreme suffering.,http://books.google.com/books/content?id=3DJVAgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.5,248000,200,300,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK037,Learned Optimism,Martin Seligman,"Psychology, Self Help",Umum,Sedang,Umum,How to change your mind and your life using positive psychology techniques.,http://books.google.com/books/content?id=sSRKEBEShsoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,22000,336,504,Sedang (4-9 jam),English,GoogleBooks_7K
BOOK038,Full Catastrophe Living,Jon Kabat-Zinn,"Self Help, Mindfulness, Health",Umum,Sedang,Butuh Ketenangan,"Using the wisdom of your body and mind to face stress, pain, and illness with MBSR.",http://books.google.com/books/content?id=B9QmDgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,15000,720,1080,Panjang (>9 jam),English,GoogleBooks_7K
BOOK039,Studying Smart,Diana Scharf Hunt,"Study Skills, Academic, Education",Akademik,Ringan,Stres Belajar,Time-tested strategies for improving study habits and academic performance.,http://books.google.com/books/content?id=SmUFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8,3200,192,288,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK040,How to Read a Book,Mortimer J. Adler,"Education, Academic, Self Help","Akademik, Umum",Sedang,Stres Belajar,The classic guide to intelligent reading and active engagement with texts.,http://books.google.com/books/content?id=X9URuAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,42000,426,639,Panjang (>9 jam),English,Goodreads_BestBooks
BOOK041,Mindset: The New Psychology of Success,Carol S. Dweck,"Psychology, Education, Self Help","Akademik, Umum",Sedang,"Butuh Motivasi, Stres Belajar",How a growth mindset can help you achieve your academic and life goals.,http://books.google.com/books/content?id=fdjqz0TPL2wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,248000,277,416,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK042,Range: Why Generalists Triumph,David Epstein,"Education, Science, Self Help","Akademik, Umum",Sedang,Umum,Why breadth of experience and knowledge leads to better outcomes.,http://books.google.com/books/content?id=OlR3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,38000,352,528,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK043,Peak: Secrets from the New Science of Expertise,Anders Ericsson,"Education, Psychology, Self Help","Akademik, Umum",Sedang,Butuh Motivasi,How deliberate practice leads to extraordinary achievement in any field.,http://books.google.com/books/content?id=s2fHDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,22000,336,504,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK044,The Organized Student,Donna Goldberg,"Education, Study Skills, Academic",Akademik,Sedang,Stres Belajar,"Teaching students how to manage time, space, and materials effectively.",http://books.google.com/books/content?id=nG1GJqQI6-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.7,2800,224,336,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK045,The First 90 Days,Michael D. Watkins,"Business, Career, Management",Pekerjaan,Sedang,Stres Kerja,Proven strategies for getting up to speed faster and smarter in new roles.,http://books.google.com/books/content?id=O4CqCgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,28000,304,456,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK046,Designing Your Life,Bill Burnett,"Career, Self Help, Design","Pekerjaan, Umum",Sedang,Stres Kerja,Build a life that works for you using design thinking principles.,http://books.google.com/books/content?id=Qs2MDAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.9,22000,272,408,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK047,The War of Art,Steven Pressfield,"Self Help, Career, Creativity","Pekerjaan, Umum",Ringan,Stres Kerja,Break through the blocks and win your inner creative battles.,http://books.google.com/books/content?id=nJQpDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,58000,190,285,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK048,Rework,Jason Fried & DHH,"Business, Career, Productivity",Pekerjaan,Sedang,Stres Kerja,"Change the way you work forever — do more with less, work smarter.",http://books.google.com/books/content?id=IYAdzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,88000,288,432,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK049,"Thinking, Fast and Slow",Daniel Kahneman,"Psychology, Business, Career","Pekerjaan, Umum",Sedang,Stres Kerja,How two systems of thinking shape our judgments and decisions.,http://books.google.com/books/content?id=SHvznOEvjMQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,312000,499,748,Panjang (>9 jam),English,Goodreads_BestBooks
BOOK050,Never Split the Difference,Chris Voss,"Business, Career, Psychology","Pekerjaan, Umum",Sedang,Stres Kerja,Negotiating as if your life depended on it — FBI hostage negotiator tactics.,http://books.google.com/books/content?id=RmdqCgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.4,148000,288,432,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK051,The Millionaire Next Door,Thomas J. Stanley,"Finance, Personal Finance, Business","Keuangan, Pekerjaan",Sedang,Masalah Finansial,Surprising secrets of Americas wealthy — living below your means.,http://books.google.com/books/content?id=KGJV0d8NSVQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,78000,272,408,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK052,The Richest Man in Babylon,George S. Clason,"Finance, Personal Finance, Self Help","Keuangan, Umum",Sedang,Masalah Finansial,Ancient wisdom for building wealth — timeless financial principles in parables.,http://books.google.com/books/content?id=znqiBQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,148000,224,336,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK053,Broke Millennial,Erin Lowry,"Finance, Personal Finance, Self Help","Keuangan, Umum",Sedang,Masalah Finansial,Stop scraping by and get your financial life together for young adults.,http://books.google.com/books/content?id=wdFVDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,12000,288,432,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK054,The Automatic Millionaire,David Bach,"Finance, Personal Finance",Keuangan,Sedang,Masalah Finansial,A powerful one-step plan to live and finish rich.,http://books.google.com/books/content?id=qL7ABQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.9,22000,256,384,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK055,The Charisma Myth,Olivia Fox Cabane,"Self Help, Social, Psychology","Sosial, Umum",Sedang,Masalah Sosial,How anyone can master the art and science of personal magnetism.,http://books.google.com/books/content?id=gf81NwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,22000,288,432,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK056,Social: Why Our Brains Are Wired to Connect,Matthew Lieberman,"Psychology, Social, Neuroscience","Akademik, Sosial, Umum",Sedang,Masalah Sosial,The surprising science of why social connection is as essential as food and shelter.,http://books.google.com/books/content?id=YF3lCgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,12000,384,576,Panjang (>9 jam),English,Goodreads_BestBooks
BOOK057,Introvert Power,Laurie Helgoe,"Psychology, Self Help, Social","Sosial, Umum",Sedang,Masalah Sosial,Why your inner life is your hidden strength — reclaiming introversion.,http://books.google.com/books/content?id=lbKPAgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.9,8800,256,384,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK058,The Like Switch,Jack Schafer,"Social, Psychology, Self Help","Sosial, Umum",Sedang,Masalah Sosial,"An ex-FBI agents guide to influencing, attracting, and winning people over.",http://books.google.com/books/content?id=TINaCAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,18000,272,408,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK059,Radical Acceptance,Tara Brach,"Self Help, Mindfulness, Psychology",Umum,Sedang,Butuh Ketenangan,Embracing your life with the heart of a Buddha — accepting yourself and others.,http://books.google.com/books/content?id=dpnJDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.4,28000,352,528,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK060,The Loneliness Cure,Kory Floyd,"Psychology, Social, Self Help","Sosial, Umum",Sedang,Masalah Sosial,Six strategies for connecting with others and building meaningful relationships.,http://books.google.com/books/content?id=jCHFBgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8,3200,224,336,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK061,Ikigai: The Japanese Secret,Héctor García,"Self Help, Philosophy, Mindfulness",Umum,Ringan,Butuh Ketenangan,"Finding your reason for being — Japanese wisdom for a long, happy life.",http://books.google.com/books/content?id=YBT1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.9,88000,194,291,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK062,The Obstacle Is the Way,Ryan Holiday,"Self Help, Philosophy, Career","Pekerjaan, Umum",Sedang,Stres Kerja,The timeless art of turning trials into triumph using Stoic philosophy.,http://books.google.com/books/content?id=gFp3BQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,78000,224,336,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK063,Meditations,Marcus Aurelius,"Philosophy, Self Help, Mindfulness",Umum,Sedang,Butuh Ketenangan,Personal writings of the Roman emperor on Stoic philosophy and inner peace.,http://books.google.com/books/content?id=diwVAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.3,148000,254,381,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK064,Stillness Is the Key,Ryan Holiday,"Self Help, Philosophy, Mindfulness",Umum,Sedang,Butuh Ketenangan,An ancient strategy for modern life — finding stillness in the chaos.,http://books.google.com/books/content?id=9GOHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,48000,288,432,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK065,The Untethered Soul,Michael A. Singer,"Self Help, Spirituality, Psychology",Umum,Ringan,Umum,Journey beyond yourself — free from habitual thoughts and emotional patterns.,http://books.google.com/books/content?id=WwAiBgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.4,118000,200,300,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK066,Maybe You Should Talk to Someone,Lori Gottlieb,"Psychology, Memoir, Self Help",Umum,Berat,Umum,"A therapist, her therapist, and our lives revealed — humanizing therapy.",http://books.google.com/books/content?id=wUCBDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.4,88000,432,648,Panjang (>9 jam),English,Goodreads_BestBooks
BOOK067,The Four Agreements,Don Miguel Ruiz,"Self Help, Spirituality, Philosophy",Umum,Ringan,Umum,A practical guide to personal freedom using ancient Toltec wisdom.,http://books.google.com/books/content?id=iTuWDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,248000,168,252,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK068,Option B,Sheryl Sandberg,"Self Help, Psychology, Memoir",Umum,Sedang,Sedih,"Facing adversity, building resilience, and finding joy after loss.",http://books.google.com/books/content?id=obGHDAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,28000,240,360,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK069,The Hard Thing About Hard Things,Ben Horowitz,"Business, Career, Management",Pekerjaan,Sedang,Stres Kerja,Building a business when there are no easy answers — leadership under pressure.,http://books.google.com/books/content?id=Y4gzAwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.2,68000,304,456,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK070,The Relationship Cure,John Gottman,"Psychology, Relationships, Self Help","Sosial, Umum",Sedang,Masalah Sosial,"5-step guide for building better connections with family, friends, and lovers.",http://books.google.com/books/content?id=3d_Y5kRwMi0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,9800,320,480,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK071,The Happiness Advantage,Shawn Achor,"Psychology, Self Help, Business","Pekerjaan, Umum",Sedang,Butuh Motivasi,The seven principles of positive psychology that fuel success and performance.,http://books.google.com/books/content?id=T3OmMQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.1,32000,256,384,Sedang (4-9 jam),English,Goodreads_BestBooks
BOOK072,Tribe of Mentors,Timothy Ferriss,"Self Help, Career, Productivity","Pekerjaan, Umum",Sedang,Stres Kerja,Short life advice from the best in the world across many disciplines.,http://books.google.com/books/content?id=FeU5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,38000,624,936,Panjang (>9 jam),English,Goodreads_BestBooks
